127.0.0.1 - - [11/Jan/2024:16:03:18 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [11/Jan/2024:16:03:22 +0530] "GET /tendermanagement/ HTTP/1.1" 200 23080
0:0:0:0:0:0:0:1 - - [11/Jan/2024:16:03:22 +0530] "GET /tendermanagement/css/bootstrap.min.css HTTP/1.1" 200 121205
0:0:0:0:0:0:0:1 - - [11/Jan/2024:16:03:22 +0530] "GET /tendermanagement/css/annimate.css HTTP/1.1" 200 81370
0:0:0:0:0:0:0:1 - - [11/Jan/2024:16:03:22 +0530] "GET /tendermanagement/css/SpryTabbedPanels.css HTTP/1.1" 200 9261
0:0:0:0:0:0:0:1 - - [11/Jan/2024:16:03:22 +0530] "GET /tendermanagement/css/style2.css HTTP/1.1" 200 3982
0:0:0:0:0:0:0:1 - - [11/Jan/2024:16:03:22 +0530] "GET /tendermanagement/js/jquery-2.1.4.min.js HTTP/1.1" 200 84349
0:0:0:0:0:0:0:1 - - [11/Jan/2024:16:03:22 +0530] "GET /tendermanagement/css/font-awesome.min.css HTTP/1.1" 200 31002
0:0:0:0:0:0:0:1 - - [11/Jan/2024:16:03:22 +0530] "GET /tendermanagement/js/script.js HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [11/Jan/2024:16:03:22 +0530] "GET /tendermanagement/images/library1.png HTTP/1.1" 200 38264
0:0:0:0:0:0:0:1 - - [11/Jan/2024:16:03:22 +0530] "GET /tendermanagement/images/home1.jpg HTTP/1.1" 200 13392
0:0:0:0:0:0:0:1 - - [11/Jan/2024:16:03:22 +0530] "GET /tendermanagement/js/ajax-utils.js HTTP/1.1" 200 1579
0:0:0:0:0:0:0:1 - - [11/Jan/2024:16:03:22 +0530] "GET /tendermanagement/js/bootstrap-dropdownhover.min.js HTTP/1.1" 200 4057
0:0:0:0:0:0:0:1 - - [11/Jan/2024:16:03:22 +0530] "GET /tendermanagement/js/bootstrap.min.js HTTP/1.1" 200 37051
0:0:0:0:0:0:0:1 - - [11/Jan/2024:16:03:22 +0530] "GET /tendermanagement/images/cap.jpg HTTP/1.1" 200 7441
0:0:0:0:0:0:0:1 - - [11/Jan/2024:16:03:22 +0530] "GET /tendermanagement/images/onwork.jpg HTTP/1.1" 200 9679
0:0:0:0:0:0:0:1 - - [11/Jan/2024:16:03:22 +0530] "GET /tendermanagement/images/hit1.jpg HTTP/1.1" 200 100070
0:0:0:0:0:0:0:1 - - [11/Jan/2024:16:03:22 +0530] "GET /tendermanagement/images/building.jpg HTTP/1.1" 200 11240
0:0:0:0:0:0:0:1 - - [11/Jan/2024:16:03:22 +0530] "GET /tendermanagement/images/Photoscan18.jpg HTTP/1.1" 200 58721
0:0:0:0:0:0:0:1 - - [11/Jan/2024:16:03:22 +0530] "GET /tendermanagement/images/building2.jpg HTTP/1.1" 200 9099
0:0:0:0:0:0:0:1 - - [11/Jan/2024:16:03:22 +0530] "GET /tendermanagement/images/nun.jpg HTTP/1.1" 200 6214
0:0:0:0:0:0:0:1 - - [11/Jan/2024:16:03:22 +0530] "GET /tendermanagement/images/deepshikha.png HTTP/1.1" 200 421823
0:0:0:0:0:0:0:1 - - [11/Jan/2024:16:03:22 +0530] "GET /tendermanagement/images/ayush.jpg HTTP/1.1" 200 79874
0:0:0:0:0:0:0:1 - - [11/Jan/2024:16:03:23 +0530] "GET /tendermanagement/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [11/Jan/2024:16:03:23 +0530] "GET /tendermanagement/images/Banner_Hit.png HTTP/1.1" 200 16632
